State.Name,Deaths.2019,Deaths.2020,Deaths.2021,Deaths.2022,Deaths.2023,Deaths.2024,Pop.Jul.2019,Pop.Jul.2020,Pop.Jul.2021,Pop.Jul.2022,Pop.Jul.2023,Pop.Jul.2024,Crude.Mort.2019,Crude.Mort.2020,Crude.Mort.2021,Crude.Mort.2022,Crude.Mort.2023,Crude.Mort.2024,PctChg.Deaths.19.20,PctChg.Deaths.20.21,PctChg.Deaths.21.22,PctChg.Deaths.22.23,PctChg.Deaths.23.24,PctChg.Deaths.19.24,PctChg.Pop.19.20,PctChg.Pop.20.21,PctChg.Pop.21.22,PctChg.Pop.22.23,PctChg.Pop.23.24,PctChg.Pop.19.24
Illinois,96,168,124,76,83,98,39299.5,35655.5,27974,29026,29798,29242,24.427791702184503,47.11755549634699,44.326874955315645,26.183421759801558,27.854218403919727,33.5134395732166,75,-26.190476190476193,-38.70967741935484,9.210526315789473,18.072289156626507,2.083333333333333,-9.272382600287536,-21.543660865785082,3.7606348752412955,2.659684420864053,-1.8658970400698034,-25.591928650491734
Indiana,95,141,95,108,96,103,27021.5,26737,24308,23532.5,23405,24528,35.15718964528246,52.73590903990724,39.081783774888926,45.89397641559545,41.016876735740226,41.9928245270711,48.421052631578945,-32.62411347517731,13.684210526315791,-11.11111111111111,7.291666666666667,8.421052631578947,-1.0528653109560904,-9.08478886935707,-3.1903077176238277,-0.5418038882396685,4.798120059816278,-9.227837092685453
Iowa,15,29,33,26,26,NA,9368,9056.5,7711,8888,9227.5,9590,16.01195559350982,32.02120024291945,42.796005706134096,29.252925292529252,28.176645895421295,NA,93.33333333333333,13.793103448275861,-21.21212121212121,0,NA,NA,-3.3251494449188725,-14.856732733395903,15.263908701854492,3.81975697569757,3.928474668111623,2.3697694278394534
Kansas,35,38,37,25,40,53,10202,9750,8715,8514,8824,9161,34.306998627720056,38.97435897435898,42.455536431440045,29.36340145642471,45.33091568449683,57.85394607575592,8.571428571428571,-2.631578947368421,-32.432432432432435,60,32.5,51.42857142857142,-4.430503822779848,-10.615384615384615,-2.306368330464716,3.641061780596664,3.8191296464188578,-10.203881591844736
Kentucky,63,72,63,58,36,58,23674,21957,18781.5,19631.5,19918,19369,26.611472501478417,32.79136494056565,33.54364667358837,29.544354736011,18.07410382568531,29.944757086065362,14.285714285714285,-12.5,-7.936507936507936,-37.93103448275862,61.111111111111114,-7.936507936507936,-7.252682267466419,-14.462358245661978,4.525730106753987,1.459389246873647,-2.7563008334170096,-18.184506209343585
Louisiana,96,138,140,177,175,121,32104,30027.5,26623.5,27074.5,27638,28387,29.9028158484924,45.95787195071185,52.585122166507034,65.37516851650076,63.31861929227875,42.625145312995386,43.75,1.4492753623188406,26.42857142857143,-1.1299435028248588,-30.857142857142854,26.041666666666668,-6.468041365561923,-11.33627508117559,1.6939921497924764,2.081294206725886,2.71003690570953,-11.577996511338151
Maine,8,7,9,11,5,5,2332,2048.5,1673.5,1655,1719.5,1821,34.305317324185246,34.17134488650232,53.7795040334628,66.46525679758308,29.07822041291073,27.457440966501924,-12.5,28.57142857142857,22.22222222222222,-54.54545454545454,0,-37.5,-12.156946826758148,-18.3060776177691,-1.1054675829100686,3.897280966767372,5.902878743820878,-21.912521440823326
Maryland,57,55,67,54,61,70,18775.5,17629,15070.5,15222.5,15722,16178,30.358712151473995,31.198593227069033,44.45771540426661,35.473805222532434,38.799134970105584,43.2686364198294,-3.508771929824561,21.818181818181817,-19.402985074626866,12.962962962962962,14.754098360655737,22.807017543859647,-6.106362014327182,-14.513018322082932,1.0085929464848546,3.2813269830842504,2.9003943518636306,-13.834518388325211
Massachusetts,35,42,38,28,21,19,8510.5,7879.5,6673,6317.5,6079,6250,41.12566829210975,53.3028745478774,56.94590139367601,44.3213296398892,34.54515545319954,30.400000000000002,20,-9.523809523809524,-26.31578947368421,-25,-9.523809523809524,-45.714285714285715,-7.414370483520358,-15.311885271908116,-5.327438933013637,-3.7752275425405624,2.8129626583319625,-26.561306621232596
Michigan,117,248,154,131,121,126,38497.5,37030.5,33029,32421.5,32744,32969,30.391583869082407,66.9718205263229,46.625692573193255,40.405286615363266,36.95333496213047,38.217719676059325,111.96581196581197,-37.903225806451616,-14.935064935064934,-7.633587786259542,4.132231404958678,7.6923076923076925,-3.8106370543541788,-10.805957251454881,-1.8392927427412276,0.9947103002637139,0.6871487906181285,-14.360672770959154
